Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P9503_126_S26_L002	16885376.0	0.0	16885376.0	1.0	8442688.0	8442688.0	13582086.0	12126208.0	3303290.0	11533772.0	16885376.0	0.0	25241.0	0.0	64463.0	0.0	1898340680.0	952251997.0	946088683.0	1528310071.0	1520863859.0	0.0	0.0	23259120.0	0.01529336	112.0	113.0	112.0	114.0	114.0	114.0	35.5	208.8	68.4	5765265.0	273017.0	1461.0	23361.0	68.3	80.43697694383589	71.81485327895571	19.563023056164102	68.30627875861337	100.0	0.0	0.14948438222518706	0.0
P9503_126_S26_L003	17074648.0	0.0	17074648.0	1.0	8537324.0	8537324.0	13663470.0	12162120.0	3411178.0	11567548.0	17074648.0	0.0	26569.0	0.0	65118.0	0.0	1922069061.0	963681769.0	958387292.0	1539340746.0	1531756714.0	0.0	0.0	23786909.0	0.01552917	112.0	113.0	112.0	114.0	114.0	114.0	35.6	208.8	68.5	5781094.0	274770.0	1490.0	23706.0	67.7	80.02197175602097	71.22911113599531	19.978028243979026	67.74691929227473	100.0	0.0	0.15560496474070798	0.0
P9503_127_MRG_STAT	41353114.0	0.0	41353114.0	1.0	20676557.0	20676557.0	33434273.0	29889498.0	7918841.0	28495426.0	41353114.0	0.0	62489.0	0.0	160691.0	0.0	4653530964.0	2333249851.0	2320281113.0	3765466012.0	3747372385.0	0.0	0.0	57019511.0	0.01521587	112.0	113.0	112.0	114.0	114.0	114.0	35.6	209.2	67.0	14242920.0	616977.0	5691.0	79161.0	68.9	80.85067789574444	72.27871158626652	19.14932210425556	68.90757005627194	100.0	0.0	0.1511107482739994	0.0
P9503_127_S27_L001	13716340.0	0.0	13716340.0	1.0	6858170.0	6858170.0	11106372.0	9939308.0	2609968.0	9474096.0	13716340.0	0.0	21228.0	0.0	55163.0	0.0	1544336820.0	774296410.0	770040410.0	1251463148.0	1245459276.0	0.0	0.0	18826632.0	0.01511622	112.0	113.0	112.0	114.0	114.0	114.0	35.6	209.1	66.9	4735341.0	206325.0	1880.0	26108.0	69.1	80.97183359409289	72.4632664398812	19.028166405907115	69.07160364937002	100.0	0.0	0.15476431759492693	0.0
P9503_127_S27_L002	13715610.0	0.0	13715610.0	1.0	6857805.0	6857805.0	11109735.0	9942320.0	2605875.0	9480334.0	13715610.0	0.0	20762.0	0.0	53959.0	0.0	1542031647.0	773353474.0	768678173.0	1250110534.0	1244131921.0	0.0	0.0	18846467.0	0.01514829	112.0	113.0	112.0	114.0	114.0	114.0	35.5	209.3	67.0	4739115.0	203753.0	1864.0	26428.0	69.1	81.00066274850334	72.48908360619761	18.999337251496655	69.12076094318809	100.0	0.0	0.1513749661881608	0.0
P9503_127_S27_L003	13921164.0	0.0	13921164.0	1.0	6960582.0	6960582.0	11218166.0	10007870.0	2702998.0	9540996.0	13921164.0	0.0	20499.0	0.0	51569.0	0.0	1567162497.0	785599967.0	781562530.0	1263892330.0	1257781188.0	0.0	0.0	19346412.0	0.01538138	112.0	113.0	112.0	114.0	114.0	114.0	35.6	209.2	67.0	4768464.0	206899.0	1947.0	26625.0	68.5	80.58353453777285	71.88960635762929	19.416465462227155	68.53590691123243	100.0	0.0	0.14725061783626714	0.0
P9503_128_MRG_STAT	37817158.0	0.0	37817158.0	1.0	18908579.0	18908579.0	28346076.0	24702100.0	9471082.0	23210344.0	37817158.0	0.0	57519.0	0.0	137384.0	0.0	4249297349.0	2134309654.0	2114987695.0	3187788807.0	3169982413.0	0.0	0.0	54089993.0	0.01706318	112.0	113.0	112.0	114.0	114.0	114.0	35.5	196.0	63.3	11599021.0	722399.0	1531.0	28099.0	61.4	74.95559555268537	65.31982123035263	25.044404447314626	61.37516732484234	100.0	0.0	0.15209762721989845	0.0
P9503_128_S28_L001	12505606.0	0.0	12505606.0	1.0	6252803.0	6252803.0	9391421.0	8194434.0	3114185.0	7699582.0	12505606.0	0.0	19514.0	0.0	46856.0	0.0	1405988918.0	706133511.0	699855407.0	1056715978.0	1050823413.0	0.0	0.0	17822004.0	0.01696004	112.0	113.0	112.0	114.0	114.0	114.0	35.5	195.9	63.3	3847563.0	239967.0	490.0	9197.0	61.6	75.09768818880109	65.52608486146133	24.902311811198913	61.56904351536423	100.0	0.0	0.15604201827564373	0.0
P9503_128_S28_L002	12561464.0	0.0	12561464.0	1.0	6280732.0	6280732.0	9436968.0	8233584.0	3124496.0	7737302.0	12561464.0	0.0	19166.0	0.0	45675.0	0.0	1410074302.0	708491276.0	701583026.0	1060295106.0	1054402681.0	0.0	0.0	17934560.0	0.01700921	112.0	113.0	112.0	114.0	114.0	114.0	35.4	196.0	63.3	3867050.0	239875.0	514.0	9353.0	61.6	75.12633877707248	65.54637262026147	24.873661222927517	61.59554332202043	100.0	0.0	0.15257775686018765	0.0
P9503_128_S28_L003	12750088.0	0.0	12750088.0	1.0	6375044.0	6375044.0	9517687.0	8274082.0	3232401.0	7773460.0	12750088.0	0.0	18839.0	0.0	44853.0	0.0	1433234129.0	719684867.0	713549262.0	1070777723.0	1064756319.0	0.0	0.0	18333429.0	0.01721843	112.0	113.0	112.0	114.0	114.0	114.0	35.5	196.0	63.4	3884408.0	242557.0	527.0	9549.0	61.0	74.64801027255655	64.89431288631106	25.351989727443453	60.967892927484115	100.0	0.0	0.1477558429400644	0.0
