Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P9503_108_S8_L002	9783820.0	0.0	9783820.0	1.0	4891910.0	4891910.0	9571979.0	9555524.0	211841.0	9183956.0	9783820.0	0.0	2815.0	0.0	1437883.0	0.0	1096686833.0	550989325.0	545697508.0	1073460559.0	1072795276.0	0.0	0.0	954464.0	0.0008896982	112.0	113.0	112.0	114.0	114.0	114.0	35.4	225.7	79.7	4592026.0	174395.0	554.0	10787.0	93.9	97.83478232428642	97.6665964827644	2.1652176757135764	93.86881606570849	100.0	0.0	0.028771992943451532	0.0
P9503_108_S8_L003	9924470.0	0.0	9924470.0	1.0	4962235.0	4962235.0	9709477.0	9692436.0	214993.0	9315908.0	9924470.0	0.0	3128.0	0.0	1436843.0	0.0	1114071304.0	559377670.0	554693634.0	1090468468.0	1089761060.0	0.0	0.0	1377606.0	0.001264136	112.0	113.0	112.0	114.0	114.0	114.0	35.5	225.8	79.8	4657401.0	177333.0	516.0	10968.0	93.9	97.83370799649754	97.66200109426498	2.166292003502454	93.86806549871177	100.0	0.0	0.03151805587603167	0.0
P9503_109_MRG_STAT	43342356.0	0.0	43342356.0	1.0	21671178.0	21671178.0	43074305.0	43014584.0	268051.0	41176776.0	43342356.0	0.0	9694.0	0.0	6195000.0	0.0	4875753309.0	2443492014.0	2432261295.0	4847809068.0	4844837829.0	0.0	0.0	4075303.0	0.000841164	112.0	113.0	112.0	114.0	114.0	114.0	35.6	215.2	72.9	20581864.0	848973.0	2695.0	73760.0	95.0	99.38154954013113	99.2437605376136	0.6184504598688636	95.00354803047624	100.0	0.0	0.02236611226210223	0.0
P9503_109_S9_L001	14348494.0	0.0	14348494.0	1.0	7174247.0	7174247.0	14260860.0	14241354.0	87634.0	13632568.0	14348494.0	0.0	2943.0	0.0	2054571.0	0.0	1614978901.0	809363366.0	805615535.0	1605823217.0	1604861696.0	0.0	0.0	1114718.0	0.0006945882	112.0	113.0	112.0	114.0	114.0	114.0	35.6	215.1	72.7	6813678.0	281783.0	912.0	24304.0	95.0	99.38924600728132	99.25330142661662	0.6107539927186784	95.01044499861797	100.0	0.0	0.02051086337005124	0.0
P9503_109_S9_L002	14409084.0	0.0	14409084.0	1.0	7204542.0	7204542.0	14319487.0	14299606.0	89597.0	13689226.0	14409084.0	0.0	3125.0	0.0	2073583.0	0.0	1619488476.0	811785603.0	807702873.0	1610159643.0	1609191129.0	0.0	0.0	1161401.0	0.0007217297	112.0	113.0	112.0	114.0	114.0	114.0	35.5	215.2	72.9	6843272.0	281082.0	884.0	24565.0	95.0	99.3781908690379	99.24021540855755	0.621809130962107	95.00413766759912	100.0	0.0	0.02168770756003643	0.0
P9503_109_S9_L003	14584778.0	0.0	14584778.0	1.0	7292389.0	7292389.0	14493958.0	14473624.0	90820.0	13854982.0	14584778.0	0.0	3626.0	0.0	2066846.0	0.0	1641285932.0	822343045.0	818942887.0	1631826208.0	1630785004.0	0.0	0.0	1799184.0	0.001103263	112.0	113.0	112.0	114.0	114.0	114.0	35.6	215.3	73.0	6924914.0	286108.0	899.0	24891.0	95.0	99.3772959725544	99.23787664097459	0.6227040274456012	94.99618026410823	100.0	0.0	0.02486153714509744	0.0
P9503_110_MRG_STAT	42607968.0	0.0	42607968.0	1.0	21303984.0	21303984.0	42310836.0	42241790.0	297132.0	39968858.0	42607968.0	0.0	12837.0	0.0	8857593.0	0.0	4791429389.0	2403414470.0	2388014919.0	4760513046.0	4757011945.0	0.0	0.0	4022475.0	0.0008455886	112.0	113.0	112.0	114.0	114.0	114.0	35.6	207.8	73.5	19976831.0	1057102.0	2902.0	84060.0	93.8	99.30263747851106	99.14058797640854	0.6973625214889384	93.80606463091598	100.0	0.0	0.030128167576543432	0.0
P9503_110_S10_L001	14120408.0	0.0	14120408.0	1.0	7060204.0	7060204.0	14022761.0	14000222.0	97647.0	13245586.0	14120408.0	0.0	4007.0	0.0	2951223.0	0.0	1588709959.0	796900693.0	791809266.0	1578513267.0	1577366928.0	0.0	0.0	1106143.0	0.0007012592	112.0	113.0	112.0	114.0	114.0	114.0	35.6	207.8	73.5	6619891.0	351605.0	954.0	27661.0	93.8	99.30846899041444	99.14884895677235	0.6915310095855587	93.80455578903953	100.0	0.0	0.028377366999593784	0.0
P9503_110_S10_L002	14177816.0	0.0	14177816.0	1.0	7088908.0	7088908.0	14078909.0	14055958.0	98907.0	13300678.0	14177816.0	0.0	4114.0	0.0	2962631.0	0.0	1592873589.0	799217477.0	793656112.0	1582604613.0	1581464716.0	0.0	0.0	1149330.0	0.0007267504	112.0	113.0	112.0	114.0	114.0	114.0	35.5	207.8	73.3	6648837.0	350052.0	939.0	28151.0	93.8	99.30238197476959	99.14050231714108	0.6976180252304022	93.81330664751187	100.0	0.0	0.0290171631512216	0.0
P9503_110_S10_L003	14309744.0	0.0	14309744.0	1.0	7154872.0	7154872.0	14209166.0	14185610.0	100578.0	13422594.0	14309744.0	0.0	4716.0	0.0	2943739.0	0.0	1609845841.0	807296300.0	802549541.0	1599395166.0	1598180301.0	0.0	0.0	1767002.0	0.001105634	112.0	113.0	112.0	114.0	114.0	114.0	35.6	207.9	73.6	6708103.0	355445.0	1009.0	28248.0	93.8	99.29713627301788	99.1325211687924	0.702863726982118	93.80037825973686	100.0	0.0	0.03295656442211685	0.0
