"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901607","alpha-amino acid biosynthetic process","11/99","113/5135",8.90989480703339e-06,0.000282302982833374,0.000239407145784554,"ILV6/BAT2/PUT1/ARO8/CAR2/LYS1/GDH1/GLT1/PUT2/MET14/MET4",11
"GO:0006099","tricarboxylic acid cycle","6/99","29/5135",1.46325779666859e-05,0.000440440596797245,0.000373515805991719,"ICL1/MLS1/SHH3/SDH2/SDH4/SDH1",6
"GO:0015711","organic anion transport","10/99","100/5135",1.84546150584631e-05,0.000529032298342609,0.000448646030243339,"CAN1/UGA4/AVT4/AVT1/DIP5/PUT4/ANT1/GAP1/DAL5/SFC1",10
"GO:0006820","anion transport","11/99","132/5135",3.91694628402733e-05,0.00102752747822533,0.00087139504623061,"CAN1/PHO89/UGA4/AVT4/AVT1/DIP5/PUT4/ANT1/GAP1/DAL5/SFC1",11
"GO:0043648","dicarboxylic acid metabolic process","7/99","50/5135",4.05346111080037e-05,0.00102752747822533,0.00087139504623061,"PUT1/UGA2/CAR2/BNA1/GDH1/GLT1/PUT2",7
"GO:1901565","organonitrogen compound catabolic process","20/99","391/5135",4.09645506269235e-05,0.00102752747822533,0.00087139504623061,"BAT2/GCV2/PUT1/CDA2/ARO8/UGA2/CAR2/BNA1/ASP3-4/DAL2/CAR1/ARO10/ALT2/UGA1/PUT2/DAL4/DUR1,2/GCV1/ALD2/APE2",20
"GO:0006865","amino acid transport","7/99","56/5135",8.56291957572867e-05,0.00206195103383546,0.00174863831335933,"CAN1/UGA4/AVT4/AVT1/DIP5/PUT4/GAP1",7
"GO:0009084","glutamine family amino acid biosynthetic process","5/99","25/5135",9.41509735903701e-05,0.00209921800375566,0.00178024258055865,"PUT1/CAR2/GDH1/GLT1/PUT2",5
"GO:0043650","dicarboxylic acid biosynthetic process","5/99","25/5135",9.41509735903701e-05,0.00209921800375566,0.00178024258055865,"PUT1/BNA1/GDH1/GLT1/PUT2",5
"GO:1905039","carboxylic acid transmembrane transport","7/99","60/5135",0.000133895518712897,0.00287875365232729,0.00244132806675771,"CAN1/AVT4/AVT1/DIP5/PUT4/GAP1/SFC1",7
"GO:1903825","organic acid transmembrane transport","7/99","61/5135",0.000148891092001873,0.00293212944409487,0.00248659342609899,"CAN1/AVT4/AVT1/DIP5/PUT4/GAP1/SFC1",7
"GO:0015804","neutral amino acid transport","4/99","15/5135",0.000150751900719736,0.00293212944409487,0.00248659342609899,"AVT4/AVT1/PUT4/GAP1",4
"GO:0003333","amino acid transmembrane transport","6/99","43/5135",0.000150990054430134,0.00293212944409487,0.00248659342609899,"CAN1/AVT4/AVT1/DIP5/PUT4/GAP1",6
"GO:0032787","monocarboxylic acid metabolic process","11/99","156/5135",0.000179422237518817,0.00337538084332274,0.00286249293409954,"ICL1/BIO4/MLS1/PYC1/UGA2/DLD1/BNA1/ANT1/UGA1/ALD4/ALD2",11
"GO:0015849","organic acid transport","8/99","86/5135",0.000220813865657742,0.0039503341797348,0.00335008231713827,"CAN1/UGA4/AVT4/AVT1/DIP5/PUT4/GAP1/SFC1",8
"GO:0009066","aspartate family amino acid metabolic process","7/99","65/5135",0.000223108574935188,0.0039503341797348,0.00335008231713827,"BAT2/ARO8/LYS1/ASP3-4/ARO10/MET14/MET4",7
"GO:0006811","ion transport","16/99","324/5135",0.000402615051029001,0.00692497887769882,0.00587273081952077,"CCS1/CAN1/PHO89/UGA4/AVT4/AVT1/DIP5/PUT4/ANT1/ENA1/GAP1/MEP2/DAL5/DUR3/SFC1/MEP3",16
"GO:0044272","sulfur compound biosynthetic process","7/99","76/5135",0.000589403130377277,0.00985613012464224,0.00835849468517483,"BAT2/BIO4/THI4/ARO8/ARO10/MET14/MET4",7
"GO:0055085","transmembrane transport","18/99","411/5135",0.00072642042431838,0.0112583762165298,0.00954766998604118,"CAN1/PHO89/FLR1/UGA4/AVT4/ESBP6/AVT1/DIP5/OPT1/PUT4/ENA1/GAP1/DAL4/MEP2/DAL5/DUR3/SFC1/MEP3",18
"GO:0019740","nitrogen utilization","4/99","22/5135",0.000728259976405996,0.0112583762165298,0.00954766998604118,"GAT1/GLT1/MEP2/MEP3",4
"GO:0006555","methionine metabolic process","5/99","38/5135",0.000729363243263558,0.0112583762165298,0.00954766998604118,"BAT2/ARO8/ARO10/MET14/MET4",5
"GO:0043605","cellular amide catabolic process","3/99","10/5135",0.000756131824886285,0.0113797839645386,0.00965062987025917,"DAL2/DAL4/DUR1,2",3
"GO:0042886","amide transport","4/99","26/5135",0.00140293778782287,0.0205992328846188,0.0174691868316841,"OPT1/DAL4/DAL5/DUR3",4
"GO:0009074","aromatic amino acid family catabolic process","3/99","13/5135",0.00172780018340343,0.024189202567648,0.020513661908217,"ARO8/BNA1/ARO10",3
