"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005576","extracellular region","29/115","83/4575",6.61143226808343e-27,7.53703278561511e-25,6.05468007708693e-25,"TIP1/ECM33/TOS1/FYV5/FIG2/DSE2/SIM1/PRY2/UTH1/CWP2/EXG2/SCW11/MF(ALPHA)2/SCW4/PRY3/CIS3/SAG1/AFB1/CCW12/CTS1/SCW10/GAS1/SUN4/EGT2/AGA1/DSE4/FIT2/SPO19/MF(ALPHA)1",29
"GO:0005618","cell wall","31/115","107/4575",6.53456069283745e-26,2.48313306327823e-24,1.99476063255038e-24,"FIG1/TIP1/ECM33/PHO3/TOS1/FYV5/FIG2/DSE2/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/PRY3/CIS3/SAG1/AFB1/RAX2/CCW12/CTS1/PAU4/SCW10/GAS1/SUN4/NIS1/EGT2/AGA1/DSE4/FIT2/SPO19",31
"GO:0030312","external encapsulating structure","31/115","107/4575",6.53456069283745e-26,2.48313306327823e-24,1.99476063255038e-24,"FIG1/TIP1/ECM33/PHO3/TOS1/FYV5/FIG2/DSE2/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/PRY3/CIS3/SAG1/AFB1/RAX2/CCW12/CTS1/PAU4/SCW10/GAS1/SUN4/NIS1/EGT2/AGA1/DSE4/FIT2/SPO19",31
"GO:0009277","fungal-type cell wall","30/115","102/4575",2.77431139096745e-25,7.90678746425724e-24,6.35171292142549e-24,"FIG1/TIP1/ECM33/PHO3/TOS1/FIG2/DSE2/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/PRY3/CIS3/SAG1/AFB1/RAX2/CCW12/CTS1/PAU4/SCW10/GAS1/SUN4/NIS1/EGT2/AGA1/DSE4/FIT2/SPO19",30
"GO:0031225","anchored component of membrane","15/115","45/4575",7.35803104799036e-14,1.6776310789418e-12,1.34768147615823e-12,"TIP1/ECM33/FIG2/DSE2/CWP2/EXG2/PRY3/SAG1/AFB1/CCW12/GAS1/EGT2/AGA1/FIT2/SPO19",15
"GO:0005887","integral component of plasma membrane","14/115","51/4575",1.07209799959536e-11,2.03698619923119e-10,1.63636010464555e-10,"FUS1/SIT1/ARN1/ARN2/STE3/GAP1/ZRT1/PRM6/PHO84/FET4/MEP2/ENB1/MEP3/OPT2",14
"GO:0031226","intrinsic component of plasma membrane","14/115","57/4575",5.62694317999454e-11,9.16387889313396e-10,7.36156476179737e-10,"FUS1/SIT1/ARN1/ARN2/STE3/GAP1/ZRT1/PRM6/PHO84/FET4/MEP2/ENB1/MEP3/OPT2",14
"GO:0000322","storage vacuole","32/115","359/4575",7.69348010695141e-11,9.44426892313676e-10,7.58680883022067e-10,"FIG1/TOS1/SIT1/VMR1/ARN1/ARN2/DSE2/PRY2/GAP1/HXT10/PHM6/ITR1/MF(ALPHA)2/SCW4/CIS3/SAG1/CCW12/CTS1/PAU4/PRM6/PHO84/FET3/RSN1/FET4/PRM1/WSC2/EGT2/CSI2/ENB1/FIT2/DIP5/OPT2",32
"GO:0000324","fungal-type vacuole","32/115","359/4575",7.69348010695141e-11,9.44426892313676e-10,7.58680883022067e-10,"FIG1/TOS1/SIT1/VMR1/ARN1/ARN2/DSE2/PRY2/GAP1/HXT10/PHM6/ITR1/MF(ALPHA)2/SCW4/CIS3/SAG1/CCW12/CTS1/PAU4/PRM6/PHO84/FET3/RSN1/FET4/PRM1/WSC2/EGT2/CSI2/ENB1/FIT2/DIP5/OPT2",32
"GO:0000323","lytic vacuole","32/115","360/4575",8.28444642380418e-11,9.44426892313676e-10,7.58680883022067e-10,"FIG1/TOS1/SIT1/VMR1/ARN1/ARN2/DSE2/PRY2/GAP1/HXT10/PHM6/ITR1/MF(ALPHA)2/SCW4/CIS3/SAG1/CCW12/CTS1/PAU4/PRM6/PHO84/FET3/RSN1/FET4/PRM1/WSC2/EGT2/CSI2/ENB1/FIT2/DIP5/OPT2",32
"GO:0009986","cell surface","8/115","15/4575",6.94349322331636e-10,7.19598388598241e-09,5.78070727682798e-09,"SIM1/UTH1/EXG2/SCW11/SCW4/SCW10/SUN4/DSE4",8
"GO:0005886","plasma membrane","34/115","442/4575",9.60132141511014e-10,9.12125534435464e-09,7.32732423784722e-09,"ECM33/FUS1/FYV5/SIT1/FTR1/ARN1/ARN2/FAA3/STE3/GAP1/EXG2/GIC2/ITR1/ZRT1/BUD9/VHT1/CIS3/AQY2/RAX2/PRM6/PHO84/FET3/RSN1/GAS1/FET4/MEP2/PRM1/WSC2/FRE7/ENB1/FRE5/DIP5/MEP3/OPT2",34
"GO:0005773","vacuole","32/115","405/4575",1.78179260734683e-09,1.56249505567337e-08,1.25518993392044e-08,"FIG1/TOS1/SIT1/VMR1/ARN1/ARN2/DSE2/PRY2/GAP1/HXT10/PHM6/ITR1/MF(ALPHA)2/SCW4/CIS3/SAG1/CCW12/CTS1/PAU4/PRM6/PHO84/FET3/RSN1/FET4/PRM1/WSC2/EGT2/CSI2/ENB1/FIT2/DIP5/OPT2",32
