Date	ExpNo	File.Name	Well.Number	Organism	ChemA	ChemB	concA	concB	Lag.Phase	Obs.L	Pred.L	Diff.L	Growth.Rate	Obs.G	Pred.G	Diff.G	Yield	Obs.Y	Pred.Y	Diff.Y	Yield25h	Obs.Y25	Pred.Y25	Diff.Y25
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	157	D. hansenii	Salt	Clotrimazole	500	0.7	18.76478143	17.45794642	49.83567323	-32.37772681	0.025337876	72.50749335	100	-27.49250665	1.525469311	64.08214705	93.33343233	-29.25128527	0.4182246	89.89754907	97.43184631	-7.53429724
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	156	D. hansenii	Salt	Clotrimazole	650	0.7	16.90936443	14.73456535	50.0450411	-35.31047575	0.029331947	68.17378305	100	-31.82621695	1.682069272	60.39493136	93.59000435	-33.19507299	0.5591534	85.45071883	97.68455224	-12.23383342
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	155	D. hansenii	Salt	Clotrimazole	800	0.7	22.78557589	23.3596685	50.41229432	-27.05262582	0.040410178	56.15350387	100	-43.84649613	1.684681542	60.33342429	94.06300759	-33.72958329	0.5456707	85.87614839	97.90187031	-12.02572191
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	154	D. hansenii	Salt	Clotrimazole	1000	0.7	22.83187791	23.42763061	50.97424952	-27.5466189	0.040427775	56.13441065	100	-43.86558935	1.458490647	65.65918945	94.46636785	-28.80717841	0.5415317	86.00674931	98.08104968	-12.07430037
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	153	D. hansenii	Salt	Clotrimazole	1200	0.7	25.77231746	27.74360776	52.6143534	-24.87074564	0.048556645	47.31429428	100	-52.68570572	1.41560097	66.66904596	94.88256086	-28.2135149	0.522888	86.59502771	98.16173918	-11.56671147
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	152	D. hansenii	Salt	Clotrimazole	1300	0.7	25.10603528	26.76563879	52.68327585	-25.91763706	0.044919692	51.26051974	100	-48.73948026	1.39146731	67.23728371	95.28278936	-28.04550566	0.5044265	87.17755702	98.36229241	-11.18473539
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	151	D. hansenii	Salt	Clotrimazole	1400	0.7	25.92605246	27.96926	53.67276353	-25.70350353	0.043170518	53.15843659	100	-46.84156341	1.388347745	67.31073526	95.45701648	-28.14628122	0.4353479	89.35724497	98.41011396	-9.052868987
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	168	D. hansenii	Salt	Clotrimazole	300	0.8	28.9454392	32.40111585	53.85887794	-21.4577621	0.018996966	79.38760925	100	-20.61239075	0.657859206	84.51041259	94.37465797	-9.864245378	0.2271055	95.92807082	97.47835133	-1.550280508
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	167	D. hansenii	Salt	Clotrimazole	500	0.8	20.40989479	19.8726438	53.94356317	-34.07091938	0.023586238	74.40808347	100	-25.59191653	1.283434816	69.78095681	94.62646071	-24.8455039	0.3299392	92.68328333	97.74147727	-5.058193937
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	166	D. hansenii	Salt	Clotrimazole	650	0.8	22.0737504	22.31485105	54.13578619	-31.82093513	0.032614014	64.6126227	100	-35.3873773	1.502649866	64.61944102	94.83326876	-30.21382774	0.4440711	89.08199542	97.96371556	-8.881720147
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	165	D. hansenii	Salt	Clotrimazole	800	0.8	23.96734197	25.09426475	54.47296553	-29.37870079	0.041687248	54.76783721	100	-45.23216279	1.557664849	63.32408879	95.21452964	-31.89044085	0.5211799	86.64892465	98.15483255	-11.5059079
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	164	D. hansenii	Salt	Clotrimazole	1000	0.8	23.17803142	23.93571474	54.98890296	-31.05318823	0.03856783	58.15251827	100	-41.84748173	1.438024193	66.14108121	95.53965531	-29.39857409	0.4873544	87.71624557	98.31240906	-10.59616349
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	163	D. hansenii	Salt	Clotrimazole	1200	0.8	26.66772173	29.05788216	56.49470092	-27.43681876	0.042567831	53.81237274	100	-46.18762726	1.352287591	68.15978763	95.87512471	-27.71533708	0.4005212	90.45615749	98.38337017	-7.92721268
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	162	D. hansenii	Salt	Clotrimazole	1300	0.8	26.73513872	29.1568368	56.5579794	-27.4011426	0.040955559	55.56174688	100	-44.43825312	1.318977639	68.94408524	96.19772604	-27.2536408	0.3832702	91.000491	98.55974359	-7.559252585
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	161	D. hansenii	Salt	Clotrimazole	1400	0.8	27.79622553	30.71430002	57.46643926	-26.75213924	0.03555122	61.42564841	100	-38.57435159	1.297789052	69.44297994	96.33816056	-26.89518062	0.3086422	93.35528326	98.60179951	-5.246516241
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	178	D. hansenii	Salt	Clotrimazole	300	1	34.27935833	40.23024233	65.0025304	-24.77228807	0.019152335	79.21902842	100	-20.78097158	0.517460696	87.81615791	93.49694816	-5.680790255	0.2176947	96.22501673	97.30439686	-1.079380126
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	177	D. hansenii	Salt	Clotrimazole	500	1	22.27800852	22.61466112	65.0667631	-42.45210198	0.021080598	77.12679369	100	-22.87320631	0.957440719	77.45663272	93.78803914	-16.33140642	0.2699649	94.5756966	97.58567439	-3.009977783
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	176	D. hansenii	Salt	Clotrimazole	650	1	20.57383993	20.11328247	65.21256188	-45.09927941	0.024886036	72.99775607	100	-27.00224393	1.163442187	72.60623659	94.027115	-21.42087841	0.3448482	92.21284867	97.82324366	-5.610394984
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	175	D. hansenii	Salt	Clotrimazole	800	1	25.40806386	27.20895633	65.46830824	-38.2593519	0.037154577	59.68594819	100	-40.31405181	1.338106915	68.49367793	94.46786318	-25.97418525	0.3889337	90.82178642	98.02754474	-7.205758321
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	174	D. hansenii	Salt	Clotrimazole	1000	1	26.20711528	28.381804	65.85964039	-37.47783639	0.036448082	60.45252114	100	-39.54747886	1.178419314	72.25359347	94.84371749	-22.59012402	0.3661374	91.54109486	98.19599157	-6.654896706
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	173	D. hansenii	Salt	Clotrimazole	1200	1	27.93618474	30.91973215	67.00176949	-36.08203734	0.037563399	59.24236141	100	-40.75763859	1.135091573	73.2737644	95.23152944	-21.95776504	0.3096405	93.32378317	98.2718479	-4.94806473
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	172	D. hansenii	Salt	Clotrimazole	1300	1	28.24841273	31.3780204	67.04976543	-35.67174503	0.034352259	62.72656378	100	-37.27343622	1.174801141	72.33878497	95.60446555	-23.26568058	0.2824544	94.18160621	98.46038833	-4.278782124
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	171	D. hansenii	Salt	Clotrimazole	1400	1	26.93241619	29.44640068	67.73882098	-38.29242031	0.030156498	67.27911607	100	-32.72088393	1.108890936	73.89067005	95.76681177	-21.87614172	0.2815789	94.20923151	98.50534545	-4.296113947
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	110, 120, 130, 140	Blank	Salt	Clotrimazole	0	0	75	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0.098058053	NA	NA	NA
8092017	233	P233 P234 VMU 08092017 Trimmed F.csv	50,60,70, 80, 89, 90, 91-100	D. hansenii	Salt	Clotrimazole	0	0	7.284686888	0	NA	NA	0.09004621	0	NA	NA	4.573137214	0	NA	NA	3.18409175	0	NA	NA
8092017	233	P233 P234 VMU 08092017 Trimmed F.csv	88	D. hansenii	Salt	Clotrimazole	300	0	8.225338087	1.389126264	NA	NA	0.087151482	3.214713345	NA	NA	4.583132386	-0.218562702	NA	NA	2.869447	10.17961535	NA	NA
8092017	233	P233 P234 VMU 08092017 Trimmed F.csv	87	D. hansenii	Salt	Clotrimazole	500	0	7.862874413	0.853850478	NA	NA	0.08268119	8.179155815	NA	NA	4.341386043	5.067662757	NA	NA	2.606545	18.6852117	NA	NA
8092017	233	P233 P234 VMU 08092017 Trimmed F.csv	86	D. hansenii	Salt	Clotrimazole	650	0	8.993272956	2.523190087	NA	NA	0.074918439	16.80000848	NA	NA	4.030244805	11.87133435	NA	NA	2.279891	29.25335903	NA	NA
8092017	233	P233 P234 VMU 08092017 Trimmed F.csv	85	D. hansenii	Salt	Clotrimazole	800	0	8.484152121	1.771335283	NA	NA	0.069084431	23.27891309	NA	NA	3.794312559	17.03042394	NA	NA	2.124944	34.26631685	NA	NA
8092017	233	P233 P234 VMU 08092017 Trimmed F.csv	84	D. hansenii	Salt	Clotrimazole	1000	0	8.939176981	2.443302728	NA	NA	0.066887144	25.71909016	NA	NA	3.518335521	23.06516606	NA	NA	1.911716	41.16482389	NA	NA
8092017	233	P233 P234 VMU 08092017 Trimmed F.csv	83	D. hansenii	Salt	Clotrimazole	1200	0	11.05583166	5.569116641	NA	NA	0.065464192	27.29933657	NA	NA	3.077372745	32.70762278	NA	NA	1.627262	50.36768618	NA	NA
